rank	word	reason
61829	-logen	affix_fragment
61830	-logie	affix_fragment
61831	-logien	affix_fragment
61832	-lohe	affix_fragment
61833	-los	affix_fragment
61834	-lustig	affix_fragment
61835	-lyse	affix_fragment
61836	-lüstern	affix_fragment
61837	-ma	affix_fragment
61838	-magen	affix_fragment
61839	-mal	affix_fragment
61840	-man	affix_fragment
61841	-manie	affix_fragment
61842	-manien	affix_fragment
61843	-mann	affix_fragment
61844	-mantie	affix_fragment
61845	-mar	affix_fragment
61846	-mark	affix_fragment
61847	-markt	affix_fragment
61848	-massen	affix_fragment
61849	-maßen	affix_fragment
61850	-ment	affix_fragment
61851	-meter	affix_fragment
61852	-metern	affix_fragment
61853	-meters	affix_fragment
61854	-metrie	affix_fragment
61855	-metrisch	affix_fragment
61856	-mole	affix_fragment
61857	-molen	affix_fragment
61858	-morph	affix_fragment
61859	-mycetes	affix_fragment
61860	-mycetidae	affix_fragment
61861	-mässig	affix_fragment
61862	-mäßig	affix_fragment
61863	-möle	affix_fragment
61864	-mölen	affix_fragment
61865	-mühl	affix_fragment
61866	-mühle	affix_fragment
61867	-mühlen	affix_fragment
61868	-n	affix_fragment
61869	-ner	affix_fragment
61870	-nis	affix_fragment
61871	-nom	affix_fragment
61872	-nomie	affix_fragment
61873	-ns	affix_fragment
61874	-nym	affix_fragment
61875	-o-	affix_fragment
61876	-oat	affix_fragment
61877	-ode	affix_fragment
61878	-ohrig	affix_fragment
61879	-oid	affix_fragment
61880	-oide	affix_fragment
61881	-ol	affix_fragment
61882	-om	affix_fragment
61883	-on	affix_fragment
61884	-opsida	affix_fragment
61885	-or	affix_fragment
61886	-orisch	affix_fragment
61887	-ose	affix_fragment
61888	-osum	affix_fragment
61889	-ow	affix_fragment
61890	-path	affix_fragment
61891	-pathie	affix_fragment
61892	-pflichtig	affix_fragment
61893	-phag	affix_fragment
61894	-phage	affix_fragment
61895	-phagie	affix_fragment
61896	-phagien	affix_fragment
61897	-phil	affix_fragment
61898	-philie	affix_fragment
61899	-philien	affix_fragment
61900	-phob	affix_fragment
61901	-phobie	affix_fragment
61902	-phobien	affix_fragment
61903	-phon	affix_fragment
61904	-phonie	affix_fragment
61905	-phorese	affix_fragment
61906	-phrenie	affix_fragment
61907	-phyceae	affix_fragment
61908	-phycidae	affix_fragment
61909	-physe	affix_fragment
61910	-phyt	affix_fragment
61911	-phyta	affix_fragment
61912	-plasie	affix_fragment
61913	-plast	affix_fragment
61914	-polis	affix_fragment
61915	-prozentig	affix_fragment
61916	-pädie	affix_fragment
61917	-reif	affix_fragment
61918	-rich	affix_fragment
61919	-rode	affix_fragment
61920	-rose	affix_fragment
61921	-röse	affix_fragment
61922	-s	affix_fragment
61923	-sal	affix_fragment
61924	-sale	affix_fragment
61925	-salen	affix_fragment
61926	-sales	affix_fragment
61927	-sals	affix_fragment
61928	-sam	affix_fragment
61929	-sch	affix_fragment
61930	-schaft	affix_fragment
61931	-schaften	affix_fragment
61932	-schreck	affix_fragment
61933	-schrecke	affix_fragment
61934	-schrecken	affix_fragment
61935	-schwanger	affix_fragment
61936	-schwemme	affix_fragment
61937	-se	affix_fragment
61938	-see	affix_fragment
61939	-seitig	affix_fragment
61940	-seits	affix_fragment
61941	-sel	affix_fragment
61942	-selig	affix_fragment
61943	-sicher	affix_fragment
61944	-skop	affix_fragment
61945	-skopie	affix_fragment
61946	-skopien	affix_fragment
61947	-som	affix_fragment
61948	-sophie	affix_fragment
61949	-sprachig	affix_fragment
61950	-spurig	affix_fragment
61951	-stadt	affix_fragment
61952	-stan	affix_fragment
61953	-stans	affix_fragment
61954	-stat	affix_fragment
61955	-stedt	affix_fragment
61956	-stein	affix_fragment
61957	-stellig	affix_fragment
61958	-städt	affix_fragment
61959	-sund	affix_fragment
61960	-süchtig	affix_fragment
61961	-tal	affix_fragment
61962	-tel	affix_fragment
61963	-thek	affix_fragment
61964	-therm	affix_fragment
61965	-thiol	affix_fragment
61966	-thion	affix_fragment
61967	-thum	affix_fragment
61968	-thymie	affix_fragment
61969	-tiger	affix_fragment
61970	-tion	affix_fragment
61971	-tomie	affix_fragment
61972	-ton	affix_fragment
61973	-tonie	affix_fragment
61974	-top	affix_fragment
61975	-topie	affix_fragment
61976	-trop	affix_fragment
61977	-troph	affix_fragment
61978	-trophie	affix_fragment
61979	-tropie	affix_fragment
61980	-trup	affix_fragment
61981	-trächtig	affix_fragment
61982	-tum	affix_fragment
61983	-tums	affix_fragment
61984	-tümer	affix_fragment
61985	-tümern	affix_fragment
61986	-ung	affix_fragment
61987	-ungen	affix_fragment
61988	-urg	affix_fragment
61989	-urgie	affix_fragment
61990	-urie	affix_fragment
61991	-urien	affix_fragment
61992	-verdächtig	affix_fragment
61993	-versteher	affix_fragment
61994	-vörde	affix_fragment
61995	-wald	affix_fragment
61996	-walde	affix_fragment
61997	-weiler	affix_fragment
61998	-weise	affix_fragment
61999	-werk	affix_fragment
62000	-wertig	affix_fragment
62001	-wesen	affix_fragment
62002	-wik	affix_fragment
62003	-wold	affix_fragment
62004	-wolde	affix_fragment
62005	-wärts	affix_fragment
62006	-yl	affix_fragment
62007	-zele	affix_fragment
62008	-zen	affix_fragment
62009	-zid	affix_fragment
62010	-zig	affix_fragment
62011	-zügig	affix_fragment
62012	-ämie	affix_fragment
62013	-är	affix_fragment
62014	-ärmelig	affix_fragment
62015	-ästhesie	affix_fragment
62016	-äugig	affix_fragment
62017	-ös	affix_fragment
62018	0,2-Liter-Flasche	non_word_chars
62019	0,2-Liter-Flaschen	non_word_chars
62020	0,33-Liter-Flasche	non_word_chars
62021	0,33-Liter-Flaschen	non_word_chars
62022	0,5-Liter-Flasche	non_word_chars
62023	0,5-Liter-Flaschen	non_word_chars
62024	0,7-Liter-Flasche	non_word_chars
62025	0,7-Liter-Flaschen	non_word_chars
62026	0,75-Liter-Flasche	non_word_chars
62027	0,75-Liter-Flaschen	non_word_chars
62028	0.	non_word_chars
62029	0190-Nummer	non_word_chars
62030	0190-Nummern	non_word_chars
62031	0190-Rufnummer	non_word_chars
62032	0190-Rufnummern	non_word_chars
62033	0190er-Nummer	non_word_chars
62034	0190er-Nummern	non_word_chars
62035	08/15	non_word_chars
62036	1 Chr	non_word_chars
62037	1 Joh	non_word_chars
62038	1 Kor	non_word_chars
62039	1 Kön	non_word_chars
62040	1 Makk	non_word_chars
62041	1 Mos	non_word_chars
62042	1 Petr	non_word_chars
62043	1 Thess	non_word_chars
62044	1 Tim	non_word_chars
62045	1,2,3-Propentricarbonsäure	non_word_chars
62046	1,2-Benzoldicarbonsäure	non_word_chars
62047	1,2-Butadien	non_word_chars
62048	1,2-Butadiens	non_word_chars
62049	1,2-Butandiol	non_word_chars
62050	1,2-Butandiols	non_word_chars
62051	1,2-Dihydroxypropan	non_word_chars
62052	1,2-Dihydroxypropans	non_word_chars
62053	1,2-Propandiol	non_word_chars
62054	1,2-Propandiols	non_word_chars
62055	1,2-Propylenglycol	non_word_chars
62056	1,2-Propylenglycols	non_word_chars
62057	1,3-Butadien	non_word_chars
62058	1,3-Butadiens	non_word_chars
62059	1,3-Propandiol	non_word_chars
62060	1,3-Propandiols	non_word_chars
62061	1,4-Benzoldicarbonsäure	non_word_chars
62062	1,4-Butandiol	non_word_chars
62063	1,4-Butandiols	non_word_chars
62064	1,5-Grad-Ziel	non_word_chars
62065	1,5-Grad-Zieles	non_word_chars
62066	1,5-Grad-Ziels	non_word_chars
62067	1,6-Liter-Benziner	non_word_chars
62068	1,6-Liter-Benzinern	non_word_chars
62069	1,6-Liter-Benziners	non_word_chars
62070	1-achsig	non_word_chars
62071	1-achsige	non_word_chars
62072	1-achsigem	non_word_chars
62073	1-achsigen	non_word_chars
62074	1-achsiger	non_word_chars
62075	1-achsiges	non_word_chars
62076	1-Benzolethansäure	non_word_chars
62077	1-Butanol	non_word_chars
62078	1-Butanols	non_word_chars
62079	1-Cent-Münze	non_word_chars
62080	1-Cent-Münzen	non_word_chars
62081	1-Cent-Stück	non_word_chars
62082	1-Cent-Stücke	non_word_chars
62083	1-Cent-Stücken	non_word_chars
62084	1-Cent-Stückes	non_word_chars
62085	1-Cent-Stücks	non_word_chars
62086	1-Dodecanol	non_word_chars
62087	1-Dodecanols	non_word_chars
62088	1-Euro-Job	non_word_chars
